事件/資產名稱,DNA層級,DNA追溯碼,I值（事件重要性）,R值（影響範圍）,三才校驗,三色審計,創建時間,創建者,商業授權狀態,壓力測試問題,壓力測試結果,女媧五彩石,審查對象,對外狀態,已加密,已否決,平台/來源,最後編輯,本機路徑,松緊級別,治理維度,涉及維度,熔斷級別,版本號,登記時間,紅線觸碰,編輯者,老大原話存檔,處理狀態,行動建議,證據鏈摘要,負責人,資產類型,風險評分,龍魂ID
tasks.md,,#龍芯⚡️2026-03-27-TASKS_MD-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/.codeartsdoer/specs/dragon_soul_extension/tasks.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,78
agent_daemon.py,,#龍芯⚡️2026-03-27-AGENT_DAEMON_PY-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/agent_daemon.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,80
cpp_to_cnsh_README.md,,#龍芯⚡️2026-03-27-CPP_TO_CNSH_README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/assets/cpp模型/cpp_to_cnsh_README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,83
TECHNICAL_README.md,,#龍芯⚡️2026-03-27-TECHNICAL_README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/assets/DNA加密工具/TECHNICAL_README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,86
README.md,,#龍芯⚡️2026-03-27-README_MD-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/assets/DNA印证器/README.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,88
auditor.py,,#龍芯⚡️2026-03-27-AUDITOR_PY-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/auditor.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,90
action_logger.sh,,#龍芯⚡️2026-03-27-ACTION_LOGGER_SH-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/bin/action_logger.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,91
chat_to_notion.py,,#龍芯⚡️2026-03-27-CHAT_TO_NOTION_PY-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/bin/chat_to_notion.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,95
commands_reference.md,,#龍芯⚡️2026-03-27-COMMANDS_REFERENCE_MD-v1.0,,,,🟢 通過,2026年3月27日 15:37,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:37,/Users/zuimeidedeyihan/longhun-system/bin/commands_reference.md,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,📝 知識/設計,,96
digital_archive_toolkit.sh,,#龍芯⚡️<POTENTIAL_SECRET_PLACEHOLDER>.sh-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/digital_archive_toolkit.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,98
intent_detect.sh,,#龍芯⚡️2026-03-27-INTENT_DETECT_SH-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/intent_detect.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,100
metaverse_api.py,,#龍芯⚡️2026-03-27-METAVERSE_API_PY-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/metaverse_api.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,104
report_handler.py,,#龍芯⚡️2026-03-27-REPORT_HANDLER_PY-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/report_handler.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,107
save_wx_secret.sh,,#龍芯⚡️2026-03-27-SAVE_WX_SECRET_SH-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/save_wx_secret.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,🔒 核心協議,,108
session_end.sh,,#龍芯⚡️2026-03-27-SESSION_END_SH-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/session_end.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,109
tongxinyi_mcp.py,,#龍芯⚡️2026-03-27-TONGXINYI_MCP_PY-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/tongxinyi_mcp.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,111
测试龙魂服务.sh,,#龍芯⚡️2026-03-27-SH-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/测试龙魂服务.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,117
加密私密区.sh,,#龍芯⚡️2026-03-27-SH_D23F-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/加密私密区.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,119
龙魂指挥台.sh,,#龍芯⚡️2026-03-27-SH_C205-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/龙魂指挥台.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,120
新文件整理.sh,,#龍芯⚡️2026-03-27-SH_A563-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/新文件整理.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,127
一键同步.sh,,#龍芯⚡️2026-03-27-SH_B437-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/bin/一键同步.sh,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,128
brain_sync_state.json,,#龍芯⚡️2026-03-27-BRAIN_SYNC_STATE_JSON-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/brain_sync_state.json,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,⚙️ 系統架構,,129
brain_sync.py,,#龍芯⚡️2026-03-27-BRAIN_SYNC_PY-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/brain_sync.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,130
cnsh_gateway.py,,#龍芯⚡️2026-03-27-CNSH_GATEWAY_PY-v1.0,,,,🟢 通過,2026年3月27日 15:38,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:38,/Users/zuimeidedeyihan/longhun-system/cnsh_gateway.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,134
cnsh_dispute_driven.py,,#龍芯⚡️2026-03-27-CNSH_DISPUTE_DRIVEN_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/cnsh_dispute_driven.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,141
cnsh_match_value.py,,#龍芯⚡️2026-03-27-CNSH_MATCH_VALUE_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/cnsh_match_value.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,146
api.py,,#龍芯⚡️2026-03-27-API_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/dare/api.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,153
store.py,,#龍芯⚡️2026-03-27-STORE_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/dare/store.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,154
__init__.py,,#龍芯⚡️2026-03-27-INIT_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/dna_calendar/__init__.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,156
api.py,,#龍芯⚡️2026-03-27-API_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/dna_calendar/api.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,157
reflow.py,,#龍芯⚡️2026-03-27-REFLOW_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/dna_calendar/reflow.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,161
__init__.py,,#龍芯⚡️2026-03-27-INIT_PY-v1.0,,,,🟢 通過,2026年3月27日 15:39,💎 龍魂系统中枢大脑,,,,,,🔒 絕對私有,No,No,🟢 本機設備,2026年3月27日 15:39,/Users/zuimeidedeyihan/longhun-system/cnsh-core/projection/__init__.py,,,,🟢 正常,v1.0,,No,💎 龍魂系统中枢大脑,,📥 待登記,,,,💻 代碼/工具,,167
