Name,AI法规成熟度,CNSH结构化,DNA码,主要语言,代码,区域,国旗,完整度,官方语言,审核状态,常用语言,数据主权敏感度,数据制度,文化类型,更新时间,特殊制度,监管复杂度,监管类型,负责人,通心译状态,页面链接,风险等级
🇪🇬 埃及,空白,,,,EG,非洲,🇪🇬,⏸️ 待启动,阿拉伯语,⏸️ 待审核,英语,高,宗教法系,伊斯兰文化,2025年12月10日,内容审查,⭐⭐⭐⭐,审查制,,,,🔴 高风险
🇿🇦 南非,空白,,,,ZA,非洲,🇿🇦,⏸️ 待启动,英语,⏸️ 待审核,,低,混合制,多元文化,2025年12月10日,,⭐⭐,自由制,,,,🟡 中风险
🇵🇭 菲律宾,部分,,,,PH,亚洲,🇵🇭,⏸️ 待启动,英语,⏸️ 待审核,英语,中,混合制,"基督教文化, 多元文化",2025年12月10日,,⭐⭐,自由制,,,,🟡 中风险
🇧🇷 巴西,部分,,,,BR,南美,🇧🇷,⏸️ 待启动,葡萄牙语,⏸️ 待审核,,中,混合制,多元文化,2025年12月10日,,⭐⭐⭐,自由制,,,,🟡 中风险
🇮🇳 印度,空白,,,,IN,亚洲,🇮🇳,⏸️ 待启动,"印地语, 英语",⏸️ 待审核,英语,中,美式系,"多元文化, 宗教文化",2025年12月10日,,⭐⭐⭐,自由制,,,,🟡 中风险
🇮🇩 印度尼西亚,空白,,,,ID,亚洲,🇮🇩,⏸️ 待启动,印尼语,⏸️ 待审核,英语,中,宗教法系,"伊斯兰文化, 多元文化",2025年12月10日,,⭐⭐⭐,混合制,,,,🟡 中风险
🇯🇵 日本,成熟,,,,JP,亚洲,🇯🇵,⏸️ 待启动,日语,⏸️ 待审核,英语,中,混合制,"儒家文化, 集体主义",2025年12月10日,,⭐⭐⭐⭐,自由制,,,,🟡 中风险
🇻🇳 越南,空白,,,,VN,亚洲,🇻🇳,⏸️ 待启动,越南语,⏸️ 待审核,英语,高,混合制,集体主义,2025年12月10日,"内容审查, 跨境限制",⭐⭐⭐⭐,审查制,,,,🔴 高风险
🧩 通心译·跨文化注释模板（自动块）,,,,,,,,,,,,,,,,,,,,,,
🧩 通心译·跨文化注释模板（自动块）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
🇺🇸 美国,部分,⏸️待处理,#龍芯⚡️2026-04-10-US_7422-v1.0,英语,US,北美,🇺🇸,🔄 进行中,英语,⏸️ 待审核,"英语, 西班牙语",高,美式系,"个人主义, 多元文化",,"CCPA, COPPA, HIPAA, Section230",⭐⭐⭐⭐⭐,混合制,,⏸️待处理,,🔴 高风险
🇪🇺 欧盟,成熟,⏸️待处理,#龍芯⚡️2026-04-10-EU_4E5F-v1.0,多语言,EU,欧洲,🇪🇺,🔄 进行中,"希腊语, 德语, 意大利语, 法语, 英语, 荷兰语, 葡萄牙语, 西班牙语",⏸️ 待审核,"德语, 法语, 英语, 西班牙语",高,GDPR系,"个人主义, 基督教文化, 多元文化",,"AI法案, GDPR",⭐⭐⭐⭐⭐,混合制,,⏸️待处理,,🔴 高风险
🇨🇳 中国,成熟,⏸️待处理,#龍芯⚡️2026-04-10-CN-v1.0,中文,CN,亚洲,🇨🇳,🔄 进行中,中文,⏸️ 待审核,"中文, 英语",高,国密系,"儒家文化, 集体主义",,"内容审查, 算法备案, 跨境限制",⭐⭐⭐⭐⭐,审查制,,⏸️待处理,,🔴 高风险
🇰🇷 韩国,部分,⏸️待处理,#龍芯⚡️2026-04-10-KR_4853-v1.0,韩语,KR,亚洲,🇰🇷,⏸️ 待启动,韩语,⏸️ 待审核,"英语, 韩语",中,混合制,"儒家文化, 集体主义",,,⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇬🇧 英国,成熟,⏸️待处理,#龍芯⚡️2026-04-10-GB_CFE8-v1.0,英语,GB,欧洲,🇬🇧,⏸️ 待启动,英语,⏸️ 待审核,英语,高,GDPR系,"个人主义, 基督教文化",,GDPR,⭐⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇯🇵 日本,部分,⏸️待处理,#龍芯⚡️2026-04-10-JP_422E-v1.0,日语,JP,亚洲,🇯🇵,⏸️ 待启动,日语,⏸️ 待审核,"日语, 英语",中,混合制,"儒家文化, 集体主义",,跨境限制,⭐⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇮🇳 印度,部分,⏸️待处理,#龍芯⚡️2026-04-10-IN_4258-v1.0,印地语/英语,IN,亚洲,🇮🇳,⏸️ 待启动,"印地语, 英语",⏸️ 待审核,"印地语, 英语",高,混合制,"多元文化, 宗教文化, 集体主义",,跨境限制,⭐⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇸🇬 新加坡,部分,⏸️待处理,#龍芯⚡️2026-04-10-SG_BA08-v1.0,英语/中文/马来语/泰米尔语,SG,亚洲,🇸🇬,⏸️ 待启动,"中文, 英语, 马来语",⏸️ 待审核,"中文, 英语, 马来语",中,混合制,"儒家文化, 多元文化, 集体主义",,,⭐⭐⭐,混合制,,⏸️待处理,,🟢 低风险
🇦🇺 澳大利亚,部分,⏸️待处理,#龍芯⚡️2026-04-10-AU_6B10-v1.0,英语,AU,大洋洲,🇦🇺,⏸️ 待启动,英语,⏸️ 待审核,英语,中,混合制,"个人主义, 多元文化",,,⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇨🇦 加拿大,部分,⏸️待处理,#龍芯⚡️2026-04-10-CA_1367-v1.0,英语/法语,CA,北美,🇨🇦,⏸️ 待启动,"法语, 英语",⏸️ 待审核,"法语, 英语",中,混合制,"个人主义, 多元文化",,,⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇧🇷 巴西,部分,⏸️待处理,#龍芯⚡️2026-04-10-BR_E603-v1.0,葡萄牙语,BR,南美,🇧🇷,⏸️ 待启动,葡萄牙语,⏸️ 待审核,葡萄牙语,中,GDPR系,多元文化,,GDPR,⭐⭐⭐,混合制,,⏸️待处理,,🟡 中风险
🇷🇺 俄罗斯,部分,⏸️待处理,#龍芯⚡️2026-04-10-RU_8E2F-v1.0,俄语,RU,欧洲,🇷🇺,⏸️ 待启动,俄语,⏸️ 待审核,"俄语, 英语",高,国密系,"基督教文化, 集体主义",,"内容审查, 跨境限制",⭐⭐⭐⭐,审查制,,⏸️待处理,,🔴 高风险
🇸🇦 沙特阿拉伯,部分,⏸️待处理,#龍芯⚡️2026-04-10-SA_9DA9-v1.0,阿拉伯语,SA,中东,🇸🇦,⏸️ 待启动,阿拉伯语,⏸️ 待审核,"英语, 阿拉伯语",高,宗教法系,"伊斯兰文化, 宗教文化, 集体主义",,"伊斯兰教法, 内容审查, 跨境限制",⭐⭐⭐⭐,审查制,,⏸️待处理,,🔴 高风险
