Name,国旗,代码,主要语言,特殊制度,风险等级,完整度,审核状态,更新时间,页面链接,DNA码,AI法规成熟度,区域,官方语言,常用语言,数据主权敏感度,数据制度,文化类型,监管复杂度,监管类型,负责人,CNSH结构化,通心译状态
🇨🇦 加拿大,🇨🇦,CA,英语/法语,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-CA-v1.0,部分,北美,"法语, 英语","法语, 英语",中,混合制,"个人主义, 多元文化",⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇦🇺 澳大利亚,🇦🇺,AU,英语,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-AU-v1.0,部分,大洋洲,英语,英语,中,混合制,"个人主义, 多元文化",⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇸🇬 新加坡,🇸🇬,SG,英语/中文/马来语/泰米尔语,,🟢 低风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-SG-v1.0,部分,亚洲,"中文, 英语, 马来语","中文, 英语, 马来语",中,混合制,"儒家文化, 多元文化, 集体主义",⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇮🇳 印度,🇮🇳,IN,印地语/英语,跨境限制,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-IN-v1.0,部分,亚洲,"印地语, 英语","印地语, 英语",高,混合制,"多元文化, 宗教文化, 集体主义",⭐⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇯🇵 日本,🇯🇵,JP,日语,跨境限制,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-JP-v1.0,部分,亚洲,日语,"日语, 英语",中,混合制,"儒家文化, 集体主义",⭐⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇬🇧 英国,🇬🇧,GB,英语,GDPR,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-GB-v1.0,成熟,欧洲,英语,英语,高,GDPR系,"个人主义, 基督教文化",⭐⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇰🇷 韩国,🇰🇷,KR,韩语,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,,,#龍芯⚡️2026-04-10-法律库-KR-v1.0,部分,亚洲,韩语,"英语, 韩语",中,混合制,"儒家文化, 集体主义",⭐⭐⭐,混合制,,⏸️待处理,⏸️待处理
🇰🇷 韩国,🇰🇷,KR,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,成熟,亚洲,韩语,英语,中,混合制,"儒家文化, 集体主义",⭐⭐⭐⭐,审查制,,,
🇹🇭 泰国,🇹🇭,TH,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,部分,亚洲,泰语,英语,中,混合制,宗教文化,⭐⭐⭐,自由制,,,
🇲🇾 马来西亚,🇲🇾,MY,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,部分,亚洲,马来语,"中文, 英语",中,宗教法系,"伊斯兰文化, 多元文化",⭐⭐⭐,混合制,,,
🇹🇷 土耳其,🇹🇷,TR,,内容审查,🔴 高风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,部分,中东,土耳其语,英语,高,宗教法系,伊斯兰文化,⭐⭐⭐⭐,审查制,,,
🇨🇦 加拿大,🇨🇦,CA,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,成熟,北美,"法语, 英语",,中,美式系,"个人主义, 多元文化",⭐⭐⭐,自由制,,,
🇦🇺 澳大利亚,🇦🇺,AU,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,成熟,大洋洲,英语,,中,美式系,"个人主义, 多元文化",⭐⭐⭐,自由制,,,
🇬🇧 英国,🇬🇧,UK,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,成熟,欧洲,英语,,高,GDPR系,"个人主义, 多元文化",⭐⭐⭐⭐,自由制,,,
🇸🇬 新加坡,🇸🇬,SG,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,成熟,亚洲,"中文, 英语, 马来语","中文, 英语",中,混合制,多元文化,⭐⭐⭐,自由制,,,
🇪🇬 埃及,🇪🇬,EG,,内容审查,🔴 高风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,空白,非洲,阿拉伯语,英语,高,宗教法系,伊斯兰文化,⭐⭐⭐⭐,审查制,,,
🇿🇦 南非,🇿🇦,ZA,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,空白,非洲,英语,,低,混合制,多元文化,⭐⭐,自由制,,,
🇵🇭 菲律宾,🇵🇭,PH,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,部分,亚洲,英语,英语,中,混合制,"基督教文化, 多元文化",⭐⭐,自由制,,,
🇧🇷 巴西,🇧🇷,BR,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,部分,南美,葡萄牙语,,中,混合制,多元文化,⭐⭐⭐,自由制,,,
🇮🇳 印度,🇮🇳,IN,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,空白,亚洲,"印地语, 英语",英语,中,美式系,"多元文化, 宗教文化",⭐⭐⭐,自由制,,,
🇮🇩 印度尼西亚,🇮🇩,ID,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,空白,亚洲,印尼语,英语,中,宗教法系,"伊斯兰文化, 多元文化",⭐⭐⭐,混合制,,,
🇯🇵 日本,🇯🇵,JP,,,🟡 中风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,成熟,亚洲,日语,英语,中,混合制,"儒家文化, 集体主义",⭐⭐⭐⭐,自由制,,,
🇻🇳 越南,🇻🇳,VN,,"内容审查, 跨境限制",🔴 高风险,⏸️ 待启动,⏸️ 待审核,2025年12月10日,,,空白,亚洲,越南语,英语,高,混合制,集体主义,⭐⭐⭐⭐,审查制,,,
,,,,,,,,,,,,,,,,,,,,,,
🧩 通心译·跨文化注释模板（自动块）,,,,,,,,,,,,,,,,,,,,,,
🧩 通心译·跨文化注释模板（自动块）,,,,,,,,,,,,,,,,,,,,,,
